vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.324211226,0.179089426,0.09601781,native,yes,long,irrelevant,test,8,noet,/t/,no,no,no,TTF_8_noet,1,S8,TTF_8_noet,0.72360035,3
0.292732143,0.174818177,0.095256971,native,yes,long,irrelevant,test,9,bot,/t/,no,no,no,TTF_9_bot,1,S9,TTF_9_bot,0.724972522,3
0.274564777,0.151286758,0.104846157,native,yes,long,irrelevant,test,10,broet,/t/,no,no,no,TTF_10_broet,1,S10,TTF_10_broet,0.682432147,4
0.261770213,0.168118159,0.090364497,native,yes,long,irrelevant,test,11,svit,/t/,no,no,no,TTF_11_svit,1,S11,TTF_11_svit,0.785147353,4
0.296310431,0.189434468,0.089340405,native,yes,long,irrelevant,test,12,smet,/t/,no,no,no,TTF_12_smet,1,S12,TTF_12_smet,0.883540156,4
0.260010647,0.163490167,0.09291025,native,yes,long,irrelevant,test,13,gjut,/t/,no,no,no,TTF_13_gjut,1,S13,TTF_13_gjut,0.701666693,3
0.283587805,0.171268134,0.12634737,native,yes,long,irrelevant,test,14,mot,/t/,no,no,no,TTF_14_mot,1,S14,TTF_14_mot,0.720651853,3
0.266677157,0.190609599,0.11468144,native,yes,long,irrelevant,test,15,not,/t/,no,no,no,TTF_15_not,1,S15,TTF_15_not,0.695261401,3
0.126075116,0.15683705,0.090296699,native,yes,short,irrelevant,test,16,font,/t/,no,no,yes,TTF_16_font,1,S16,TTF_16_font,0.745754879,4
0.201855854,0.183953409,0.087368221,native,yes,long,irrelevant,test,17,sket,/t/,no,no,no,TTF_17_sket,1,S17,TTF_17_sket,0.694570328,3
0.270284878,0.182915776,0.088112569,native,yes,long,irrelevant,test,18,skjut,/t/,no,no,no,TTF_18_skjut,1,S18,TTF_18_skjut,0.706052952,3
0.268178288,0.193070827,0.112751176,native,yes,long,irrelevant,test,19,skoet,/t/,no,no,no,TTF_19_skoet,1,S19,TTF_19_skoet,0.739148563,3
0.281271388,0.206289733,0.117319936,native,yes,long,irrelevant,test,20,got,/t/,no,no,no,TTF_20_got,1,S20,TTF_20_got,0.652340498,3
0.279774635,0.169939782,0.091217501,native,yes,long,irrelevant,test,21,gjoet,/t/,no,no,no,TTF_21_gjoet,1,S21,TTF_21_gjoet,0.717227197,3
0.303443101,0.185360666,0.088342028,native,yes,long,irrelevant,test,22,het,/t/,no,no,no,TTF_22_het,1,S22,TTF_22_het,0.666218993,3
0.2683762,0.165308831,0.092831753,native,yes,long,irrelevant,test,23,hut,/t/,no,no,no,TTF_23_hut,1,S23,TTF_23_hut,0.630330838,3
0.27485702,0.165684177,0.08570345,native,yes,long,irrelevant,test,24,smit,/t/,no,no,no,TTF_24_smit,1,S24,TTF_24_smit,0.797507,4
0.105642555,0.142159767,0.093180664,native,yes,short,irrelevant,test,25,synt,/t/,no,no,yes,TTF_25_synt,1,S25,TTF_25_synt,0.754337015,4
0.101102083,0.18372278,0.110184066,native,yes,short,irrelevant,test,26,rymt,/t/,no,no,yes,TTF_26_rymt,1,S26,TTF_26_rymt,0.714453732,4
0.134215473,0.158958797,0.082113579,native,yes,short,irrelevant,test,27,sant,/t/,no,no,yes,TTF_27_sant,1,S27,TTF_27_sant,0.703168894,4
0.146218628,0.158441694,0.098131625,native,yes,short,irrelevant,test,28,brant,/t/,no,no,yes,TTF_28_brant,1,S28,TTF_28_brant,0.793501083,5
0.160954005,0.24521742,0.118055826,native,yes,short,irrelevant,test,29,bett,/t/,no,no,no,TTF_29_bett,1,S29,TTF_29_bett,0.688266926,3
0.124125951,0.247891042,0.097392729,native,yes,short,irrelevant,test,30,slatt,/t/,no,no,no,TTF_30_slatt,1,S30,TTF_30_slatt,0.764040096,4
0.159046338,0.254576707,0.114495965,native,yes,short,irrelevant,test,31,brott,/t/,no,no,no,TTF_31_brott,1,S31,TTF_31_brott,0.742661951,4
