Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E11,/d/,rode,2,0.126,0.081,0.168,yes,no,yes,1,rode
E11,/d/,rode,3,0.118,0.081,0.174,yes,no,yes,1,rode
E11,/d/,sad,1,0.15,0.085,0.319,yes,no,no,1,sad
E11,/d/,sad,2,0.16,0.079,0.332,yes,no,no,1,sad
E11,/d/,sad,3,0.077,0.088,0.337,yes,no,no,1,sad
E11,/d/,said,1,0.141,0.107,0.188,yes,no,no,1,said
E11,/d/,said,2,0.147,0.143,0.168,yes,no,no,1,said
E11,/d/,said,3,0.141,0.139,0.185,yes,no,no,1,said
E11,/t/,shot,1,0.211,0.124,0.179,yes,no,no,1,shot
E11,/t/,shot,2,0.203,0.107,0.249,yes,no,no,1,shot
E11,/t/,shot,3,0.149,0.158,0.203,yes,no,no,1,shot
E11,/t/,shout,1,0.177,0.153,0.148,yes,no,no,1,shout
E11,/t/,shout,2,0.168,0.138,0.196,yes,no,no,1,shout
E11,/t/,shout,3,0.169,0.147,0.186,yes,no,no,1,shout
E11,/t/,silt,1,0.195,0.07,0.163,yes,yes,no,1,silt
E11,/t/,silt,2,0.171,0.086,0.192,yes,yes,no,1,silt
E11,/t/,silt,3,0.16,0.088,0.165,yes,yes,no,1,silt
E11,/t/,sit,1,0.188,0.115,0.102,yes,no,no,1,sit
E11,/t/,sit,2,0.16,0.144,0.124,yes,no,no,1,sit
E11,/t/,sit,3,0.156,0.168,0.123,yes,no,no,1,sit
E11,/d/,slide,1,0.094,0.057,0.359,yes,no,no,1,slide
E11,/d/,slide,2,0.116,0.066,0.352,yes,no,no,1,slide
E11,/d/,slide,3,0.078,0.057,0.345,yes,no,no,1,slide
E11,/t/,soot,1,0.19,0.119,0.119,yes,no,no,1,soot
E11,/t/,soot,2,0.171,0.136,0.132,yes,no,no,1,soot
E11,/t/,soot,3,0.198,0.129,0.129,yes,no,no,1,soot
E11,/t/,vet,1,0.262,0.106,0.159,yes,no,no,1,vet
E11,/t/,vet,2,0.211,0.105,0.177,yes,no,no,1,vet
E11,/t/,vet,3,0.23,0.156,0.142,yes,no,no,1,vet
E11,/t/,wait,1,0.249,0.101,0.187,yes,no,no,1,wait
E11,/t/,wait,2,0.227,0.1,0.199,yes,no,no,1,wait
E11,/t/,wait,3,0.205,0.177,0.133,yes,no,no,1,wait
E11,/t/,white,1,0.182,0.15,0.126,yes,no,no,1,white
E11,/t/,white,2,0.204,0.086,0.177,yes,no,no,1,white
E11,/t/,white,3,0.218,0.154,0.14,yes,no,no,1,white
