Speaker,Sound,Word,set,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,syllable_duration,word_duration,num_of_segments,combo,Type,burst,closure,vowel
E12,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.462,0.462,3,E12_feed_1,old,0.077,0.04,0.205
E12,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.471,0.471,3,E12_feed_2,old,0.113,0.05,0.225
E12,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.474,0.474,3,E12_feed_3,old,0.083,0.041,0.205
E13,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.574,0.574,3,E13_feed_1,old,0.152,0.062,0.321
E13,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.598,0.598,3,E13_feed_2,old,0.144,0.062,0.343
E13,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.541,0.541,3,E13_feed_3,old,0.114,0.082,0.277
E14,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.757,0.757,3,E14_feed_1,old,0.203,0.082,0.22
E14,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.661,0.661,3,E14_feed_2,old,0.145,0.072,0.212
E14,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.639,0.639,3,E14_feed_3,old,0.13,0.111,0.214
E15,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.535,0.535,3,E15_feed_1,old,0.12,0.064,0.29
E15,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.599,0.599,3,E15_feed_2,old,0.093,0.077,0.304
E15,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.585,0.585,3,E15_feed_3,old,0.084,0.066,0.311
E3,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.745,0.745,3,E3_feed_1,old,0.266,0.05,0.262
E3,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.687,0.687,3,E3_feed_2,old,0.213,0.05,0.275
E3,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.521,0.521,3,E3_feed_3,old,0.104,0.051,0.239
E7,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.615,0.615,3,E7_feed_1,old,0.055,0.107,0.275
E7,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.631,0.631,3,E7_feed_2,old,0.074,0.079,0.277
E7,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.614,0.614,3,E7_feed_3,old,0.044,0.115,0.276
E9,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.419,0.419,3,E9_feed_1,old,0.046,0.069,0.216
E9,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.521,0.521,3,E9_feed_2,old,0.144,0.052,0.222
E9,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.49,0.49,3,E9_feed_3,old,0.051,0.073,0.201
E1,/t/,feet,1,yes,1,feet,no,no,no,no,no,no,no,0.481,0.481,3,E1_feet_1,old,0.125,0.081,0.134
E1,/t/,feet,2,yes,1,feet,no,no,no,no,no,no,no,0.462,0.462,3,E1_feet_2,old,0.101,0.071,0.143
E1,/t/,feet,3,yes,1,feet,no,no,no,no,no,no,no,0.422,0.422,3,E1_feet_3,old,0.108,0.073,0.126
E10,/t/,feet,1,yes,1,feet,no,no,no,no,no,no,no,0.425,0.425,3,E10_feet_1,old,0.125,0.125,0.12
E10,/t/,feet,2,yes,1,feet,no,no,no,no,no,no,no,0.457,0.457,3,E10_feet_2,old,0.144,0.12,0.127
E10,/t/,feet,3,yes,1,feet,no,no,no,no,no,no,no,0.379,0.379,3,E10_feet_3,old,0.087,0.106,0.134
E11,/t/,feet,1,yes,1,feet,no,no,no,no,no,no,no,0.683,0.683,3,E11_feet_1,old,0.198,0.152,0.11
E11,/t/,feet,2,yes,1,feet,no,no,no,no,no,no,no,0.682,0.682,3,E11_feet_2,old,0.204,0.169,0.123
E11,/t/,feet,3,yes,1,feet,no,no,no,no,no,no,no,0.708,0.708,3,E11_feet_3,old,0.273,0.117,0.168
E12,/t/,feet,1,yes,1,feet,no,no,no,no,no,no,no,0.426,0.426,3,E12_feet_1,old,0.142,0.063,0.139
E12,/t/,feet,2,yes,1,feet,no,no,no,no,no,no,no,0.399,0.399,3,E12_feet_2,old,0.149,0.061,0.147
E12,/t/,feet,3,yes,1,feet,no,no,no,no,no,no,no,0.331,0.331,3,E12_feet_3,old,0.092,0.055,0.121
E13,/t/,feet,1,yes,1,feet,no,no,no,no,no,no,no,0.598,0.598,3,E13_feet_1,old,0.121,0.153,0.133
E13,/t/,feet,2,yes,1,feet,no,no,no,no,no,no,no,0.591,0.591,3,E13_feet_2,old,0.119,0.13,0.172
E13,/t/,feet,3,yes,1,feet,no,no,no,no,no,no,no,0.417,0.417,3,E13_feet_3,old,0.083,0.108,0.158
